Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_District,Local_Authority_Highway,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
-0.197258,51.56113,1,Slight,1,1,2005-08-12,6,09:29:00,30,E09000003,3,598,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000140
-0.193655,51.564672,1,Slight,1,1,2005-10-12,4,17:23:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01000136
-0.302458,51.630143,1,Slight,2,1,2005-01-17,2,08:50:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01000188
-0.303862,51.631242,1,Slight,2,2,2005-02-11,6,17:24:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,4,2,2,0,0,2,1,E01002114
-0.280616,51.61166,1,Slight,3,1,2005-03-14,2,21:35:00,30,E09000003,3,5,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002118
-0.279351,51.610742,1,Slight,2,1,2005-04-09,7,17:50:00,30,E09000003,3,5,6,30,6,2,4,461,0,5,1,1,1,0,0,1,1,E01000194
-0.26774,51.60086,1,Slight,1,1,2005-04-21,5,02:35:00,30,E09000003,3,5,6,30,7,4,5,0,0,0,4,1,1,0,0,1,1,E01000129
-0.279354,51.610652,1,Serious,2,1,2005-06-19,1,16:20:00,30,E09000003,3,5,6,30,6,2,4,461,0,5,1,1,1,0,0,1,1,E01002118
-0.272232,51.604253,1,Slight,2,1,2005-06-13,2,18:14:00,30,E09000003,3,5,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002122
-0.292945,51.621822,1,Slight,1,1,2005-07-14,5,16:20:00,30,E09000003,3,5,1,30,1,4,3,410,0,8,1,1,1,0,0,2,1,E01002112
-0.304692,51.63611,1,Slight,2,1,2005-07-18,2,19:25:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01002114
-0.274325,51.606172,1,Slight,1,1,2005-07-23,7,19:40:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002119
-0.279358,51.610563,1,Slight,4,2,2005-08-27,7,16:23:00,30,E09000003,3,5,6,30,6,2,4,461,0,5,1,1,1,0,0,1,1,E01002119
-0.268726,51.601504,1,Slight,1,1,2005-10-01,7,12:30:00,30,E09000003,6,0,6,30,3,4,3,5,0,0,1,1,1,0,0,1,2,E01002123
-0.291263,51.620448,1,Slight,1,2,2005-10-08,7,18:10:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,1,4,2,2,0,0,1,1,E01002112
-0.304144,51.631426,1,Slight,2,1,2005-10-19,4,09:45:00,30,E09000003,3,5,6,30,3,4,5,0,0,0,1,1,2,0,0,2,3,E01002114
-0.267183,51.600312,1,Slight,2,1,2005-11-14,2,21:00:00,30,E09000003,3,5,6,30,3,4,5,0,0,0,4,1,1,0,0,1,1,E01002123
-0.272235,51.604163,1,Slight,2,1,2005-11-09,4,18:20:00,30,E09000003,6,0,6,30,3,4,3,5,0,0,4,1,1,0,0,1,1,E01002123
-0.267461,51.600586,1,Slight,1,1,2005-10-24,2,15:50:00,30,E09000003,3,5,6,30,3,2,5,0,0,5,1,2,2,0,0,1,1,E01002123
-0.278519,51.609831,1,Serious,1,1,2005-12-12,2,15:10:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002119
-0.277824,51.609101,1,Slight,2,1,2005-12-20,3,19:17:00,30,E09000003,3,5,6,20,3,4,6,0,0,0,4,2,2,0,0,1,1,E01002119
-0.260757,51.594642,1,Slight,2,2,2005-02-14,2,20:04:00,30,E09000003,6,0,2,30,3,2,3,5,0,5,4,2,2,0,0,1,1,E01000588
-0.241156,51.578792,1,Slight,1,1,2005-03-17,5,22:43:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000313
-0.258376,51.592718,1,Slight,2,1,2005-03-24,5,15:10:00,30,E09000003,3,5,6,30,8,4,6,0,0,0,1,1,1,0,0,1,3,E01000588
-0.220515,51.575154,1,Slight,2,1,2005-04-25,2,12:00:00,30,E09000003,3,406,3,40,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000307
-0.266348,51.59949,1,Slight,2,1,2005-05-04,4,21:08:00,30,E09000003,3,5,6,30,3,4,6,0,0,0,4,1,1,4,0,1,1,E01000592
-0.248309,51.584205,1,Slight,2,1,2005-05-21,7,06:30:00,30,E09000003,3,5,6,30,6,2,3,4006,0,5,1,1,1,0,0,1,1,E01000312
-0.280616,51.61166,1,Slight,1,1,2005-05-26,5,15:50:00,30,E09000003,3,5,3,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002118
-0.258936,51.593176,1,Slight,1,2,2005-05-27,6,13:20:00,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000588
-0.278908,51.611006,1,Slight,2,1,2005-05-11,4,15:50:00,30,E09000003,3,5100,2,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01000194
-0.215844,51.558087,1,Slight,2,1,2005-05-19,5,14:00:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01000141
-0.258095,51.592534,1,Serious,2,1,2005-07-08,6,14:15:00,30,E09000003,3,5,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000516
-0.26285,51.596561,1,Slight,2,1,2005-08-05,6,21:35:00,30,E09000003,3,5,6,30,8,4,6,0,0,0,4,1,1,0,0,1,2,E01000587
-0.262719,51.596199,1,Slight,2,1,2005-08-24,4,16:40:00,30,E09000003,3,5,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01000587
-0.26341,51.597019,1,Slight,1,3,2005-10-12,4,01:18:00,30,E09000003,3,5,6,30,3,4,5,0,0,0,4,1,1,0,0,1,1,E01000592
-0.231356,51.571001,1,Slight,4,2,2005-07-30,7,22:37:00,30,E09000003,3,406,1,30,1,2,3,5,0,5,4,1,1,0,0,1,1,E01000223
-0.229709,51.568818,1,Serious,2,1,2005-11-11,6,16:37:00,30,E09000003,3,5,3,30,3,4,6,0,0,0,4,9,1,0,0,1,1,E01000223
-0.232365,51.571017,1,Slight,2,1,2005-12-01,5,15:45:00,30,E09000003,3,406,1,30,1,2,3,5,0,0,1,2,2,0,0,1,2,E01000499
-0.258655,51.592992,1,Slight,1,1,2005-12-16,6,12:00:00,30,E09000003,3,5,6,30,3,4,6,0,0,1,1,4,1,0,0,1,1,E01000588
-0.211803,51.591208,1,Slight,2,1,2005-01-01,7,13:50:00,30,E09000003,3,1,3,40,6,2,3,504,0,0,1,1,1,0,0,1,1,E01000242
-0.183927,51.598783,1,Slight,1,2,2005-01-02,1,15:02:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000297
-0.194807,51.568377,1,Slight,2,1,2005-01-02,1,16:05:00,30,E09000003,3,598,6,30,6,2,3,598,0,0,1,1,1,0,0,1,1,E01000135
-0.215213,51.585235,1,Slight,3,1,2005-01-03,2,15:23:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01000236
-0.238372,51.576143,1,Slight,2,2,2005-01-03,2,20:52:00,30,E09000003,3,5,6,30,3,2,3,5,0,0,4,1,1,0,0,1,1,E01000305
-0.265978,51.609197,1,Slight,2,1,2005-01-15,7,15:20:00,30,E09000003,3,5109,1,30,1,4,3,5109,0,0,1,1,1,0,0,1,3,E01000226
-0.195681,51.571807,1,Slight,2,1,2005-01-08,7,09:30:00,30,E09000003,3,502,6,30,6,2,3,502,0,5,1,1,1,0,0,1,3,E01000146
-0.232063,51.571372,1,Slight,2,1,2005-01-05,4,12:03:00,30,E09000003,3,5,7,30,1,2,3,406,0,5,1,1,1,0,0,1,3,E01000305
-0.158163,51.625269,1,Slight,2,1,2005-01-17,2,21:00:00,30,E09000003,3,109,6,30,3,4,6,0,0,0,4,1,1,0,0,1,3,E01000265
-0.176767,51.618905,1,Slight,2,1,2005-01-14,6,11:30:00,30,E09000003,3,1000,6,30,0,-1,-1,0,0,1,1,1,1,0,0,1,3,E01000321
-0.153141,51.620874,1,Slight,1,1,2005-01-04,3,23:45:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01000159
-0.2067,51.607137,1,Slight,2,2,2005-01-04,3,18:09:00,30,E09000003,5,0,6,30,0,-1,-1,0,0,0,6,2,2,0,0,1,1,E01000257
-0.268444,51.60132,1,Slight,2,1,2005-01-12,4,09:09:00,30,E09000003,3,5,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002123
-0.255444,51.642852,1,Slight,2,1,2005-01-26,4,15:14:00,30,E09000003,3,1,1,50,1,4,3,411,0,0,1,1,1,0,0,1,1,E01000290
-0.265428,51.612246,1,Slight,1,2,2005-01-06,5,21:10:00,30,E09000003,3,5109,6,30,3,4,6,0,0,4,4,1,1,0,0,1,1,E01000227
-0.198006,51.596932,1,Slight,2,2,2005-01-06,5,22:30:00,30,E09000003,3,504,6,30,6,2,3,598,0,5,4,1,1,0,0,1,1,E01000196
-0.164329,51.587058,1,Slight,1,2,2005-01-05,4,16:40:00,30,E09000003,3,1000,6,30,0,-1,-1,0,0,4,4,1,1,0,0,1,1,E01000182
-0.193199,51.601624,1,Slight,2,1,2005-01-06,5,16:18:00,30,E09000003,3,598,6,30,6,2,3,1003,0,0,4,1,1,0,0,1,1,E01000296
-0.20527,51.610442,1,Slight,2,1,2005-01-08,7,18:26:00,30,E09000003,5,0,6,30,0,-1,-1,0,0,0,4,1,1,4,0,1,1,E01000262
-0.224551,51.578992,1,Slight,2,1,2005-01-08,7,14:30:00,30,E09000003,3,41,3,50,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01000310
-0.217156,51.594617,1,Slight,2,3,2005-01-04,3,23:50:00,30,E09000003,4,552,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01000242
-0.175324,51.647659,1,Slight,3,4,2005-01-04,3,15:35:00,30,E09000003,5,0,6,30,6,4,6,0,0,0,4,2,2,0,0,1,1,E01000270
-0.17779,51.636637,1,Slight,2,1,2005-01-10,2,18:20:00,30,E09000003,3,1000,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01000282
-0.248328,51.591219,1,Slight,2,1,2005-01-11,3,19:31:00,30,E09000003,3,5150,1,30,1,4,6,0,0,0,1,2,2,0,0,1,1,E01000148
-0.143279,51.632409,1,Slight,1,1,2005-01-13,5,16:55:00,30,E09000003,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000116
-0.174355,51.578222,1,Slight,2,1,2005-01-13,5,07:50:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000206
-0.203743,51.56132,1,Slight,2,2,2005-01-13,5,23:15:00,30,E09000003,3,41,3,40,6,2,3,407,0,5,4,1,2,0,0,1,1,E01000139
-0.275562,51.615453,1,Slight,2,1,2005-01-09,1,21:28:00,30,E09000003,3,5100,1,30,1,4,5,0,0,0,4,2,2,0,0,1,1,E01000192
-0.224981,51.582775,1,Slight,2,1,2005-01-13,5,08:15:00,30,E09000003,4,551,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01000237
-0.176583,51.623489,1,Slight,1,1,2005-01-08,7,10:00:00,30,E09000003,3,1000,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01000284
-0.260046,51.594361,1,Slight,1,1,2005-01-09,1,01:03:00,30,E09000003,3,5,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000588
-0.209964,51.557188,1,Slight,2,1,2005-01-14,6,17:31:00,30,E09000003,6,0,6,30,3,4,6,0,0,0,4,8,1,0,0,1,1,E01000143
-0.188226,51.628615,1,Slight,2,1,2005-01-15,7,18:10:00,30,E09000003,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01000280
